MAPPING,DOCK, TRIP ID,VEHICLE NO,Destination,STATUS,Cut-off,Connection type,Ageing,Issue,LH /CMT REMARK,DOCK  IN TIME,DOCK OUT TIME,GATE OUT TIME,Actual Loading TAT
42,55,FLNRA00080025305,HR38AB8024,Motherhub_PLS,DEPARTED,Sat Dec 30 1899 21:00:00 GMT+0521 (India Standard Time),Regular,,HOLD FOR UTILIZATION,,Sat Dec 02 2023 20:02:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 00:26:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 00:35:00 GMT+0530 (India Standard Time),Sat Dec 30 1899 04:24:00 GMT+0521 (India Standard Time)
13,62,FLNRP00079828541,HR55AR8629,Motherhub_GUW,DEPARTED,Sat Dec 30 1899 00:00:00 GMT+0521 (India Standard Time),Regular,,HOLD FOR UTILIZATION, Depart the vehicle by 4:00Am with floor zero.,Sat Dec 02 2023 23:28:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 03:39:00 GMT+0530 (India Standard Time),,Sat Dec 30 1899 04:11:00 GMT+0521 (India Standard Time)
14,59,FLNRP00079666228,MH40CM9161,MotherHub_IDO,INPROGRESS,Sat Dec 30 1899 05:30:00 GMT+0521 (India Standard Time),Pre_adhoc,Sat Dec 30 1899 08:27:50 GMT+0521 (India Standard Time),HOLD FOR UTILIZATION,Pre ad hoc vehicle use as regular ,Sat Dec 02 2023 20:53:00 GMT+0530 (India Standard Time),,,
15,63,FLNRA00079651687,NL01AF1381,Motherhub_SAI_4,DEPARTED,Sat Dec 30 1899 21:00:00 GMT+0521 (India Standard Time),Regular,,,,Sat Dec 02 2023 20:22:00 GMT+0530 (India Standard Time),Sat Dec 02 2023 23:25:00 GMT+0530 (India Standard Time),Sat Dec 02 2023 23:41:00 GMT+0530 (India Standard Time),Sat Dec 30 1899 03:03:00 GMT+0521 (India Standard Time)
24,78,FLNRP00079624700,RJ09GC9922,Motherhub_HRN,DEPARTED,Sat Dec 30 1899 02:00:00 GMT+0521 (India Standard Time),Pre_adhoc,,HOLD FOR UTILIZATION, Depart the vehicle by 4:00Am with floor zero.,Sat Dec 02 2023 16:26:00 GMT+0530 (India Standard Time),Sat Dec 02 2023 16:17:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 04:05:00 GMT+0530 (India Standard Time),Fri Dec 29 1899 23:51:00 GMT+0521 (India Standard Time)
12,60,FLNRP00079670553,NL01AF7744,MotherHub_NAG_BTS,DEPARTED,Sat Dec 30 1899 00:00:00 GMT+0521 (India Standard Time),Regular Touching vehicle,,,,Sat Dec 02 2023 23:22:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 00:47:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 00:48:00 GMT+0530 (India Standard Time),Sat Dec 30 1899 01:25:00 GMT+0521 (India Standard Time)
l,64,FLNRP00079823619,NL01AF7736,MotherHub_PUNE,DEPARTED,Sat Dec 30 1899 22:00:00 GMT+0521 (India Standard Time),Regular Touching vehicle,,HOLD FOR UTILIZATION,Depart the vehicle by 5:00Am.,Sat Dec 02 2023 22:48:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 01:10:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 01:26:00 GMT+0530 (India Standard Time),Sat Dec 30 1899 02:22:00 GMT+0521 (India Standard Time)
17,65,FLNRA00080029385,RJ14GN8389,MotherHub_SIL,DEPARTED,Sat Dec 30 1899 00:00:00 GMT+0521 (India Standard Time),Regular Touching vehicle,,,,Sat Dec 02 2023 22:54:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 01:25:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 01:27:00 GMT+0530 (India Standard Time),Sat Dec 30 1899 02:31:00 GMT+0521 (India Standard Time)
33,51,FLLRA00080031707,DL01MA6936,MotherHub_DIC,DEPARTED,Sat Dec 30 1899 23:00:00 GMT+0521 (India Standard Time),Regular,,,,Sat Dec 02 2023 19:53:00 GMT+0530 (India Standard Time),Sat Dec 02 2023 23:33:00 GMT+0530 (India Standard Time),Sat Dec 02 2023 23:42:00 GMT+0530 (India Standard Time),Sat Dec 30 1899 03:40:00 GMT+0521 (India Standard Time)
19,67,FLNRP00079863731,HR55J4915,Motherhub_PAT_BTS,DEPARTED,Sat Dec 30 1899 20:00:00 GMT+0521 (India Standard Time),Regular,,,,Sat Dec 02 2023 22:59:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 00:33:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 00:35:00 GMT+0530 (India Standard Time),Sat Dec 30 1899 01:34:00 GMT+0521 (India Standard Time)
33,51,FLLRA00080035881,DL01LAE1253,MotherHub_DIC,DEPARTED,Sat Dec 30 1899 23:00:00 GMT+0521 (India Standard Time),Pre_adhoc,,,,Sat Dec 02 2023 23:49:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 01:10:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 01:27:00 GMT+0530 (India Standard Time),Sat Dec 30 1899 01:21:00 GMT+0521 (India Standard Time)
#N/A,52,FLNRP00079666931,HR38DH9685,BEHRAMPUR,DEPARTED,#N/A,Regular,#N/A,,,Sun Dec 03 2023 01:22:00 GMT+0530 (India Standard Time),,,
29,53,FLNRP00079664690,NL01AQ5693,DurgapurTcHub_DGP,DEPARTED,Sat Dec 30 1899 05:00:00 GMT+0521 (India Standard Time),Regular,,,,Sun Dec 03 2023 01:19:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 04:45:00 GMT+0530 (India Standard Time),,Sat Dec 30 1899 03:26:00 GMT+0521 (India Standard Time)
23,75, CLLRA00080030081, DL01MA5412,Motherhub_CUT,DEPARTED,Sat Dec 30 1899 16:00:00 GMT+0521 (India Standard Time),RAILWAY Vehicle,,,,Sat Dec 02 2023 18:11:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 01:34:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 01:58:00 GMT+0530 (India Standard Time),Sat Dec 30 1899 07:23:00 GMT+0521 (India Standard Time)
33,51,FLLRA00080037495,HR55AR8316,MotherHub_DIC,DEPARTED,Sat Dec 30 1899 23:00:00 GMT+0521 (India Standard Time),Regular,,,,Sun Dec 03 2023 02:28:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 04:45:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 05:01:00 GMT+0530 (India Standard Time),Sat Dec 30 1899 02:17:00 GMT+0521 (India Standard Time)
28,53,FLNRP00079664690,NL01AT5693,AsansolTcHub_ASL,DEPARTED,Sat Dec 30 1899 04:30:00 GMT+0521 (India Standard Time),Regular,,,,Sun Dec 03 2023 01:19:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 04:45:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 05:07:00 GMT+0530 (India Standard Time),Sat Dec 30 1899 03:26:00 GMT+0521 (India Standard Time)
25,79,FLNRA00079651535,NL01AF4406,Motherhub_ULB,INPROGRESS,Sat Dec 30 1899 16:00:00 GMT+0521 (India Standard Time),Pre_adhoc,Sat Dec 30 1899 01:22:50 GMT+0521 (India Standard Time),,,Sun Dec 03 2023 03:58:00 GMT+0530 (India Standard Time),,,
23,75,FLNRA00079651507,HR55AG1891,Motherhub_CUT,INPROGRESS,Sat Dec 30 1899 16:00:00 GMT+0521 (India Standard Time),Pre_adhoc,Sat Dec 30 1899 01:27:50 GMT+0521 (India Standard Time),,,Sun Dec 03 2023 03:53:00 GMT+0530 (India Standard Time),,,
12,58,FLNRA00079651492,MH40CM9164,MotherHub_NAG_BTS,INPROGRESS,Sat Dec 30 1899 00:00:00 GMT+0521 (India Standard Time),Pre_adhoc,Sat Dec 30 1899 01:49:50 GMT+0521 (India Standard Time),,,Sun Dec 03 2023 03:31:00 GMT+0530 (India Standard Time),,,
19,68,FLNRA00079651649,RJ40GA3031,Motherhub_PAT_BTS,INPROGRESS,Sat Dec 30 1899 20:00:00 GMT+0521 (India Standard Time),Pre_adhoc,Fri Jan 05 1900 01:19:50 GMT+0521 (India Standard Time),,,Mon Nov 27 2023 04:01:00 GMT+0530 (India Standard Time),,,
42,56,FLNRA00079651609,NL01AF1550,Motherhub_PLS,Hold,Sat Dec 30 1899 21:00:00 GMT+0521 (India Standard Time),Pre_adhoc,Sat Dec 30 1899 01:42:50 GMT+0521 (India Standard Time),,,Sun Dec 03 2023 03:38:00 GMT+0530 (India Standard Time),,,
18,67,CLLRA00080038183,dl01ma9260,MotherHub_CHG,INPROGRESS,Sat Dec 30 1899 20:00:00 GMT+0521 (India Standard Time),,,,,Sun Dec 03 2023 04:40:00 GMT+0530 (India Standard Time),Sun Dec 03 2023 04:40:00 GMT+0530 (India Standard Time),,Sat Dec 30 1899 00:00:00 GMT+0521 (India Standard Time)
31,2,FLLRA00080032375,DL01LX8073,MotherHub_YKBF,DEPARTED,Sat Dec 30 1899 11:00:00 GMT+0521 (India Standard Time),Regular,,,,Sat Dec 02 2023 20:11:00 GMT+0530 (India Standard Time),Sat Dec 02 2023 23:32:00 GMT+0530 (India Standard Time),Sat Dec 02 2023 23:39:00 GMT+0530 (India Standard Time),Sat Dec 30 1899 03:21:00 GMT+0521 (India Standard Time)
#N/A,,FLNRP00079617586,HR38AF4294,DEL/YKB-BAG/SIL,ON DOCK,#N/A,,#N/A,,,,,,
#N/A,,FLNRA00079651688,RJ40GA4697,DEL/YKB-MUM/SAI4,ON DOCK,#N/A,,#N/A,,,,,,
#N/A,,FLNRP00079829545,NL01AG1116,DEL/YKB-PNQ/PNQ,ON DOCK,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,#N/A,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
#N/A,,,,,,#N/A,,,,,,,,
